Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
25-NOV-2014,13.0175,14.2475,11.4525,13.525,13.0175,0.51,3.90
26-NOV-2014,13.525,13.5375,10.6075,12.985,13.525,-0.54,-3.99
27-NOV-2014,12.985,13.1175,11.65,12.7425,12.985,-0.24,-1.87
28-NOV-2014,12.7425,13.125,11.595,12.8975,12.7425,0.16,1.22
01-DEC-2014,12.8975,13.615,12.1975,13.2025,12.8975,0.30,2.36
02-DEC-2014,13.2025,13.3325,12.205,12.395,13.2025,-0.81,-6.12
03-DEC-2014,12.395,12.6075,11.2875,12.3675,12.395,-0.03,-0.22
04-DEC-2014,12.3675,12.635,10.715,12.445,12.3675,0.08,0.63
05-DEC-2014,12.445,12.445,11.325,11.95,12.445,-0.50,-3.98
08-DEC-2014,11.95,12.6525,11.2275,12.2075,11.95,0.26,2.15
09-DEC-2014,12.2075,13.0825,10.8225,12.495,12.2075,0.29,2.36
10-DEC-2014,12.495,12.965,11.5725,12.2425,12.495,-0.25,-2.02
11-DEC-2014,12.2425,12.9025,11.1875,12.7725,12.2425,0.53,4.33
12-DEC-2014,12.7725,13.91,11.5325,13.7525,12.7725,0.98,7.67
15-DEC-2014,13.7525,14.3275,12.565,14.02,13.7525,0.27,1.95
16-DEC-2014,14.02,16.555,12.5725,16.3075,14.02,2.29,16.32
17-DEC-2014,16.3075,19.0625,14.195,16.925,16.3075,0.62,3.79
18-DEC-2014,16.925,16.925,13.9725,14.5975,16.925,-2.33,-13.75
19-DEC-2014,14.5975,14.775,11.845,14.51,14.5975,-0.09,-0.60
22-DEC-2014,14.51,15.5775,14.0225,14.21,14.51,-0.30,-2.07
23-DEC-2014,14.21,16.115,13.5475,15.2975,14.21,1.09,7.65
24-DEC-2014,15.2975,15.6125,14.3,15.07,15.2975,-0.23,-1.49
26-DEC-2014,15.07,16.355,14.3975,14.645,15.07,-0.43,-2.82
29-DEC-2014,14.645,15.0425,14.2175,14.5825,14.645,-0.06,-0.43
30-DEC-2014,14.5825,15.2225,14.1425,14.8625,14.5825,0.28,1.92
31-DEC-2014,14.8625,15.4025,14.6025,15.12,14.8625,0.26,1.73
01-JAN-2015,15.12,15.5075,14.755,15.025,15.12,-0.09,-0.63
02-JAN-2015,15.025,15.025,13.4825,13.795,15.025,-1.23,-8.19
05-JAN-2015,13.795,14.405,13.1525,14.1525,13.795,0.36,2.59
06-JAN-2015,14.1525,17.87,13.4575,17.42,14.1525,3.27,23.09
07-JAN-2015,17.42,19.07,16.5025,18.14,17.42,0.72,4.13
08-JAN-2015,18.14,18.14,15.3825,16.4725,18.14,-1.67,-9.19
09-JAN-2015,16.4725,16.9075,14.4625,15.955,16.4725,-0.52,-3.14
12-JAN-2015,15.955,17.5475,14.3725,16.11,15.955,0.15,0.97
13-JAN-2015,16.11,16.81,14.5725,16.4825,16.11,0.37,2.31
14-JAN-2015,16.4825,17.795,14.66,17.2475,16.4825,0.76,4.64
15-JAN-2015,17.2475,17.2475,13.825,16.16,17.2475,-1.09,-6.31
16-JAN-2015,16.16,17.4975,14.86,17.275,16.16,1.11,6.90
19-JAN-2015,17.275,18.29,14.555,17.65,17.275,0.38,2.17
20-JAN-2015,17.65,17.65,15.715,17.2725,17.65,-0.38,-2.14
21-JAN-2015,17.2725,18.1425,14.33,17.7125,17.2725,0.44,2.55
22-JAN-2015,17.7125,18.7625,14.205,18.565,17.7125,0.85,4.81
23-JAN-2015,18.565,18.74,13.46,17.885,18.565,-0.68,-3.66
27-JAN-2015,17.885,18.685,16.7775,18.085,17.885,0.20,1.12
28-JAN-2015,18.085,20.145,17.62,19.77,18.085,1.68,9.32
29-JAN-2015,19.77,20.5675,17.7025,19.4325,19.77,-0.34,-1.71
30-JAN-2015,19.4325,21.21,18.325,20.1725,19.4325,0.74,3.81
02-FEB-2015,20.1725,21.365,19.855,20.405,20.1725,0.23,1.15
